residence_name,council_id
MIVINJENI,2660
KIUNGANI,2660
MINAZINI,2660
MIBURANI,2660
WAILES,2660
UWANJA WA TAIFA,2660
KEKO MACHUNGWA,2660
MGULANI (KEKO JUU),2660
BUSTANI,2660
SABASABA,2660
CHAUREMBO,2660
BOKORANI,2660
RELINI,2660
MTONI,2660
MWEMBELADU,2660
"MAMBOLEO ""A""",2660
MPOGO,2660
SANDALI,2660
"MAMBOLEO ""B""",2660
TINDWA,2660
MKWINDA,2660
VETERINARY,2660
USALAMA,2660
KIMBUNGA,2660
MWEMBEMNOFU,2660
KISIWANI,2660
MATUMBI,2660
NJARO,2660
TEMEKE,2660
MAGANGA,2660
MAGURUWE,2660
NYAMBWERA,2660
TANDIKA,2660
KILIMAHEWA,2660
MABATINI,2660
TAMLA,2660
DOVYA,2660
MAKANGARAWE,2660
MSAKALA,2660
MBONDE,2660
UWAZI,2660
SIGARA,2660
MACHIMBO,2660
MAGOGONI,2660
MZAMBARAUNI,2660
VITUKA,2660
MASHINE YA MAJI,2660
BUZA,2660
MJIMPYA,2660
KIDAGAA,2660
AMANI,2660
KILAKALA,2660
BARABARA YA MWINYI,2660
KIEMBESAMAKI,2660
KIGUNGA,2660
YOMBO RELI,2660
MSUFINI,2660
VIGOA,2660
DOVYA,2660
MKONDOGWA,2660
MAGENGENI,2660
RUFU,2660
KISEWE,2660
KIPONZA,2660
MWEMBE BAMIA,2660
KURASINI MJIMPYA,2660
RANGITATU,2660
NZASA B,2660
MACHINJIONI A,2660
KILUNGULE,2660
NZASA A,2660
MAJIMATITU B,2660
KWA MZUNGU,2660
UZOMBOKONI,2660
MANGAYA,2660
SERENGE,2660
MORINGE,2660
MBAGALA,2660
KIZINGA,2660
BUGHIDADI,2660
KIZUIANI,2660
KICHEMCHEM,2660
JESHI LA WOKOVU,2660
MBAGALA KUU MASHARIKI,2660
MBAGALA KUU MAGHARIBI,2660
MBAGALA KUU KASKAZINI,2660
MAKUKA KUSINI,2660
MAKUKA KASKAZINI,2660
MPAKANI,2660
"KIBONDEMAJI ""B""",2660
MPONDA,2660
MAJIMATITU A,2660
MACHINJIONI,2660
MIANZINI,2660
MAJIMATITU,2660
KIBONDEMAJI A,2660
MCHIKICHINI,2660
KIMBANGULILE,2660
MWANAMTOTI,2660
MTONI KIJICHI,2660
MISHENI,2660
BUTIAMA,2660
MGENI NANI,2660
KIBURUGWA,2660
KIBURUGWA NAMBA 3,2660
KWANYOKA,2660
JUHUDI,2660
KINGUGI,2660
BARABARA YA MWINYI,2660
SOKONI,2814
UVUMBA,2814
KICHANGANI,2814
NYAKWALE,2814
KIZIZA,2814
KIFURUKWE,2814
TUAMOYO,2814
FERRY,2814
KIGAMBONI,2814
KIZITO HUONJWA,2814
NGOBANYA,2814
KWA CHALE,2814
GOLANI,2814
KIJAKA,2814
MIKENGE,2814
LINGATO,2814
VUMILIA UKOONI,2814
KICHANGANI,2814
TUMAINI,2814
KIGOGO,2814
MWASONGA,2814
MADEGE,2814
MKAMBA,2814
NGOMA MAPINDUZI,2814
MWANINGA,2814
SHARIFU,2814
MAWENI,2814
MJIMWEMA,2814
UNGINDONI,2814
KIBUGUMO,2814
DEGE,2814
VISIKINI,2814
MINONDO,2814
KICHANGANI,2814
KIZANI,2814
MKWAJUNI,2814
SHIRIKISHO,2814
MWERA,2814
MBWAMAJI,2814
MWANZO MGUMU,2814
MALIMBIKA,2814
BAMBA,2814
SARA,2814
KONGOWE,2814
PONDE,2814
CHANGANYIKENI,2814
MASAKI,2814
"GOROKA ""A""",2814
"GOROKA ""B""",2814
VIKUNAI,2814
MASULIZA,2814
MIKWAMBE,2814
MWAPEMBA,2814
MALELA,2814
"MZINGA ""A""",2814
"MZINGA ""B""",2814
TOANGOMA,2814
VIJIBWENI,2814
KIBENE,2814
MAJENGO,2814
KISIWANI,2814
UPENDO,2814
MKWAJUNI,2814
PEMBA CENTER,2814
GULUBWIDA,2814
MTI MWEUPE,2814
BUYUNI,2814
CHAMBEWA,2814
MAHENGE,2814
KIBUNGO,2814
PUNA CENTER,2814
KWA MORIS,2814
POTEA,2814
MUHIMBILI,2814
KICHANGANI,2814
TUNDWI CENTRE,2814
SONGANI CENTRE,2814
NYANGE,2814
TUNGI,2814
MUUNGANO,2814
